"poly_id","VV_gamma0_mean","VV_gamma0_stdDev","VV_gamma0_count","VH_gamma0_mean","VH_gamma0_stdDev","VH_gamma0_count","VV_tsd_mean","VV_tsd_stdDev","VV_tsd_count","VH_tsd_mean","VH_tsd_stdDev","VH_tsd_count","ALL_count","retained_frac"
"P058",-9.73872191396788,1.05836385380969,734,-15.8854310068123,1.08239673122499,734,1.96551914588056,0.156429690218905,734,2.15358203001057,0.1797617711916,734,734,1
"P059",-8.52617020413848,2.57768599328466,323,-15.3029470298002,2.62876386387725,323,2.21240624901195,0.424797309585264,323,2.58823946400933,0.48765641799904,323,323,1
"P060",-9.05130669834485,2.02063472153782,877,-15.7254866440765,2.05271681105688,877,2.03482708601898,0.202735744384457,877,2.29768431488196,0.271377608931781,877,877,1
"P061",-5.62142551633118,2.16430496499222,1041,-12.2394479918448,2.17821636779022,1041,2.42395848526031,0.586187317187222,1041,2.6944935771317,0.560580578609367,1041,1041,1
"P062",-7.74751666084469,1.02570617209099,693,-14.3540192232054,0.92851944709129,693,2.09332774464622,0.295671653043177,693,2.24280224982148,0.284128620252062,693,693,1
"P063",-7.90025994700506,1.2246763475284,766,-14.0670734216592,1.16655888335031,766,1.92584067008157,0.115430591155897,766,2.05797217430592,0.128294233003351,766,766,1
"P064",-7.56192000209552,0.665835967005317,188,-14.2061932437385,0.724145555630711,188,1.90517891086466,0.0955960319029927,188,2.06741177576593,0.109320808912638,188,188,1
"P065",-7.32350346482906,2.885322282172,1995,-13.874592193843,2.84940926243789,1995,2.10786610354653,0.460887155059486,1995,2.31317036768523,0.509654914216009,1995,2011,0.992
"P066",-7.03496899245868,0.859675083380366,599,-13.0653614866202,1.01899224371611,599,1.91165739846109,0.11848087870778,599,2.06430579317785,0.148042213159689,599,599,1
"P067",-7.11657810922114,1.31053870650723,909,-13.6112132786317,1.26770066204571,909,1.97155740803913,0.310108497684796,909,2.05804154118165,0.209470536185222,909,909,1
"P068",-6.83773131636505,1.08949452957964,518,-13.0542235742049,1.07361010052491,518,1.94413522104049,0.103592428232804,518,2.04786388862769,0.118724175503361,518,518,1
"P069",-6.62545795281464,1.06371448183353,403,-13.0291948752325,1.10599789742312,403,1.93272570270014,0.0930441754089739,403,2.03255092148316,0.105581749397511,403,403,1
"P070",-6.30965851508217,0.886757398940632,184,-12.7246817338348,0.879835070636553,184,1.91473731189947,0.0953896407938161,184,1.99439546916562,0.101983911231293,184,184,1
"P071",-7.0005023407268,1.62867175140038,534,-13.7022232086033,1.56020376304277,534,2.35898678778019,0.396994694041642,534,2.50076670163211,0.385174593529344,534,534,1
"P072",-6.97163760193859,1.1704139044194,267,-13.5675390431389,1.23462802412617,267,1.9599990595828,0.128371960598195,267,2.13472167573978,0.154667278123079,267,267,1
"P073",-6.8477244655588,1.02311840303291,1212,-13.3399978365291,1.08616052873523,1212,2.08133277281354,0.222289049355217,1212,2.21078027206674,0.216554804904257,1212,1212,1
"P074",-6.97476885757772,0.582139009967212,159,-13.9263210334544,0.664288086347435,159,2.25655420651955,0.255518413215648,159,2.31830243392443,0.26888168486037,159,159,1
"P075",-6.27406941944613,0.747720728737941,160,-12.3946143088857,0.792291806515643,160,1.99668558513252,0.262851577295599,160,2.10558562998016,0.217363084360614,160,160,1
"P076",-6.82711146423099,1.71755725265822,2146,-13.2487204450508,1.66614330926001,2146,2.00862461982521,0.16335387294517,2146,2.14908615894305,0.196437559716309,2146,2146,1
"P077",-7.6021042479335,1.41785099751904,426,-13.8998063918839,1.48368114224528,426,2.02736292551061,0.240958207035998,426,2.13405938505342,0.228843217451919,426,426,1
"P078",-8.99342583819512,1.89975204100202,755,-15.2319693136942,1.7778992315277,755,2.01565431436045,0.313786572578869,755,2.12971866504481,0.22172597131481,755,755,1
"P079",-6.87016037537839,1.09389510673486,1831,-13.0724327546437,1.0348063535559,1831,1.96415804395073,0.147093336375424,1831,2.10168035225945,0.158950586734043,1831,1831,1
"P080",-6.82491124379007,0.518662641448614,358,-12.7050795924257,0.630007862878956,358,1.89251471851403,0.132765344309733,358,1.96059043030062,0.14100600955681,358,358,1
"P081",-5.75291048645234,1.70588685047833,534,-12.0593129634321,1.60859418537803,534,2.17672803813811,0.397748553427766,534,2.24991408876388,0.383388450357821,534,547,0.9762
"P082",-7.44372036727477,1.684307586214,1224,-13.8339696169492,1.65044682529232,1224,1.90387635308276,0.147883931718204,1224,2.00975647874973,0.167315390272865,1224,1224,1
"P083",-7.71234199193376,1.58932010514181,576,-14.1641630317357,1.51646153909101,576,1.95108634478729,0.157501486534314,576,2.02638461635996,0.167055455754386,576,576,1
"P084",-6.02864746520098,1.79851477210697,3700,-12.4467617214084,1.70565073759557,3700,2.15095622285711,0.508270899325411,3700,2.23288233602413,0.444383402409907,3700,3708,0.9978
