"poly_id","maptile","year","density","projection","filename","s3Url"
"P079","092e050_3_4_4",2019,8,"utm10","bc_092e050_3_4_4_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092e/2019/pointcloud/bc_092e050_3_4_4_xyes_8_utm10_2019.laz"
"P080","092c076_4_3_1",2023,8,"utm10","bc_092c076_4_3_1_xyes_8_utm10_20231030_20231030.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092c/2023/pointcloud/bc_092c076_4_3_1_xyes_8_utm10_20231030_20231030.laz"
"P081","092c096_1_1_3",2023,8,"utm10","bc_092c096_1_1_3_xyes_8_utm10_20231031_20231031.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092c/2023/pointcloud/bc_092c096_1_1_3_xyes_8_utm10_20231031_20231031.laz"
"P081","092c096_1_1_4",2023,8,"utm10","bc_092c096_1_1_4_xyes_8_utm10_20231031_20231031.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092c/2023/pointcloud/bc_092c096_1_1_4_xyes_8_utm10_20231031_20231031.laz"
"P082","092c067_4_1_1",2023,8,"utm10","bc_092c067_4_1_1_xyes_8_utm10_20231002_20231029.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092c/2023/pointcloud/bc_092c067_4_1_1_xyes_8_utm10_20231002_20231029.laz"
"P083","092c087_1_3_3",2023,8,"utm10","bc_092c087_1_3_3_xyes_8_utm10_20231030_20231030.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092c/2023/pointcloud/bc_092c087_1_3_3_xyes_8_utm10_20231030_20231030.laz"
"P084","092f015_1_3_3",2019,8,"utm10","bc_092f015_1_3_3_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092f/2019/pointcloud/bc_092f015_1_3_3_xyes_8_utm10_2019.laz"
"P084","092f015_3_1_1",2019,8,"utm10","bc_092f015_3_1_1_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092f/2019/pointcloud/bc_092f015_3_1_1_xyes_8_utm10_2019.laz"
"P084","092f015_3_1_2",2019,8,"utm10","bc_092f015_3_1_2_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092f/2019/pointcloud/bc_092f015_3_1_2_xyes_8_utm10_2019.laz"
"P084","092f015_3_1_4",2019,8,"utm10","bc_092f015_3_1_4_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092f/2019/pointcloud/bc_092f015_3_1_4_xyes_8_utm10_2019.laz"
